major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5
Andesite / Basaltic Andesite, , , ,Dacite, , , , 
Dacite,Andesite / Basaltic Andesite, , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Dacite,Andesite / Basaltic Andesite, , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
 , , , ,Basalt / Picro-Basalt, , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
 , , , , , , , , 
Rhyolite, , , ,Dacite,Andesite / Basaltic Andesite, , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite,Andesite / Basaltic Andesite, , , 
Dacite, , , , , , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
Dacite,Trachyte / Trachydacite,Andesite / Basaltic Andesite,Rhyolite, , , , , 
Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Dacite, ,Trachyte / Trachydacite, , , , 
Andesite / Basaltic Andesite, , , ,Dacite, , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , ,Basalt / Picro-Basalt,Rhyolite, , , 
Trachyandesite / Basaltic Trachyandesite,Dacite,Basalt / Picro-Basalt, , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
